EPCI_ORIGIN,EPCI_DEST,CSM,SEXE,REGION,REGETUD,METRODOM,ILETUD,flow,count
200000172,200000172,3,1,84,84,M,2,9.64688489384677,2
200000172,200000172,4,2,84,84,M,2,10.4456589267126,2
200000172,200000172,6,1,84,84,M,2,1.08703960305867,1
200000172,200011773,3,2,84,84,M,2,10,2
200000172,200011773,4,2,84,84,M,2,14.21155136134703,4
200000172,200011773,5,1,84,84,M,2,10.24550971985058,2
200000172,200011773,5,2,84,84,M,2,1.08703960305867,1
200000172,200011773,6,1,84,84,M,2,3.8614053752344297,2
200000172,200011773,6,2,84,84,M,2,14.60052808495888,5
200000172,200011773,7,1,84,84,M,2,5.10459865015941,1
200000172,200011773,8,2,84,84,M,2,3.7940496248685704,2
200000172,200018166,4,1,84,84,M,3,5,1
200000172,200018166,6,1,84,84,M,3,3.10543027267662,1
200000172,200033116,2,1,84,84,M,2,4.98904426461297,1
200000172,200033116,3,1,84,84,M,2,4.98904426461297,1
200000172,200033116,4,1,84,84,M,2,8.38319361822491,2
200000172,200033116,6,1,84,84,M,2,10.841092830729993,3
200000172,200033116,7,1,84,84,M,2,4.8761057195927,1
200000172,200034882,3,1,84,84,M,2,3.04355204094671,1
200000172,200034882,4,2,84,84,M,2,4.76572379950393,1
200000172,200034882,5,2,84,84,M,2,4.8761057195927,1
200000172,200034882,6,1,84,84,M,2,7.5610467953365,2
200000172,200034882,7,1,84,84,M,2,3.46323260451048,1
200000172,200035731,6,2,84,84,M,3,5.05080005230049,1
200000172,200040715,2,2,84,84,M,3,5.10459865015941,1
200000172,200040715,3,1,84,84,M,3,3.46293694386709,1
200000172,200040715,3,2,84,84,M,3,5.10459865015941,1
200000172,200040715,4,1,84,84,M,3,3.3903051659435,1
200000172,200040715,4,2,84,84,M,3,5.2228294633563,1
200000172,200040715,6,1,84,84,M,3,7.800278139294644,3
200000172,200040715,7,2,84,84,M,3,2.78805155899665,1
200000172,200054781,4,1,84,11,M,4,3.56988661191572,1
200000172,200066793,2,1,84,84,M,2,3.49867586731568,1
200000172,200066793,2,2,84,84,M,2,10.17330045057808,2
200000172,200066793,3,1,84,84,M,2,3.85747076185274,1
200000172,200066793,4,1,84,84,M,2,11.8478098831201,4
200000172,200066793,4,2,84,84,M,2,10.611616309768944,6
200000172,200066793,5,1,84,84,M,2,10.18787174415614,4
200000172,200066793,5,2,84,84,M,2,15.84437044603415,4
200000172,200066793,6,1,84,84,M,2,10.866979642721772,4
200000172,200066793,6,2,84,84,M,2,24.98406966277294,7
200000172,200066793,7,1,84,84,M,2,2.7897207893071,1
200000172,200066793,8,2,84,84,M,2,7.5610467953365,2
200000172,200066975,4,1,84,32,M,4,3.78052339766825,1
200000172,200067551,5,1,84,84,M,2,10.098935182948999,2
200000172,200068542,3,1,84,84,M,3,5,1
200000172,200068674,4,1,84,84,M,3,3.46293694386709,1
200000172,200068674,6,2,84,84,M,3,2.78995897171031,1
200000172,200069110,2,2,84,84,M,3,3.78052339766825,1
200000172,200069110,3,1,84,84,M,3,3.04355204094671,1
200000172,200069110,4,1,84,84,M,3,3.49867586731568,1
200000172,200069110,5,1,84,84,M,3,3.3903051659435,1
200000172,200069110,6,1,84,84,M,3,8.453899751848919,2
200000172,200069110,6,2,84,84,M,3,1.08703960305867,1
200000172,200070852,6,1,84,84,M,2,3.04381189510207,1
200000172,200070852,6,2,84,84,M,2,3.04381189510207,1
200000172,200070852,8,1,84,84,M,2,3.04381189510207,1
200000172,200071751,6,1,84,84,M,3,4.8761057195927,1
200000172,200071967,5,2,84,84,M,2,5,1
200000172,242500361,6,2,84,27,M,4,2.78805155899665,1
200000172,245804406,3,1,84,27,M,4,2.7897207893071,1
200000172,247400583,4,2,84,84,M,2,4.95522388453324,1
200000172,247400583,5,2,84,84,M,2,7.78995897171031,2
200000172,247400583,6,2,84,84,M,2,3.78052339766825,1
200000172,247400690,6,2,84,84,M,2,5.08665022528904,1
200000172,247400724,2,1,84,84,M,2,0.975859529022191,1
200000172,247400724,2,2,84,84,M,2,2.78781353943173,1
200000172,247400724,4,1,84,84,M,2,5,1
200000172,247400724,6,1,84,84,M,2,3.96095223625292,2
200000172,247400724,6,2,84,84,M,2,2.61547791874031,1
200000172,247400724,7,1,84,84,M,2,1.00599806587192,1
200000172,247400740,5,1,84,84,M,2,7.66415727858935,2
200000172,247400773,4,2,84,84,M,2,0.975859529022191,1
200000172,NA,2,1,84,11,M,4,3.18405972753009,1
