CODE_EPCI,NOM_EPCI,TYPE_EPCI
"200000172",CC Faucigny-Glières,CC
"200000438",CC du Pays de Pontchâteau St-Gildas-des-Bois,CC
"200000545",CC des Portes de Romilly sur Seine,CC
"200000628",CC Rhône Lez Provence,CC
"200000800",CC Coeur de Sologne,CC
"200000925",CC de la Plaine Dijonnaise,CC
"200000933",CC Sauldre et Sologne,CC
"200004802",CC du Pays de Fayence,CC
"200005932",CC des Portes de Sologne,CC
"200005957",CC de la Région de Rambervillers,CC
"200006682","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",CA
"200006716",CC du Nogentais,CC
"200006930",CC du Haut Allier,CC
"200006971",CC du Perche,CC
"200007052",CC de la Marche Berrichonne,CC
"200007177",CC Pays de Nérondes,CC
"200010650",CA du Grand Dole,CA
"200010700",CA Caux Seine Agglo,CA
"200011773",CA Annemasse-Les Voirons-Agglomération,CA
"200011781",CC Portes du Berry entre Loire et Val d'Aubois,CC
"200012060",CC Petite Montagne,CC
"200013050",CC Sauer-Pechelbronn,CC
"200015162",CC de l'Oriente,CC
"200016905",CC du Pays de Lamastre,CC
"200017341",CC Lodévois et Larzac,CC
"200017846",CA Etampois Sud Essonne,CA
"200018083",CC de Desvres-Samer,CC
"200018166",CC Le Grésivaudan,CC
"200018406",CC du Romorantinais et du Monestois,CC
"200018521",CC du Val de Bouzanne,CC
"200022986",CC du Grand Pic Saint-Loup,CC
"200023075",CC du Pays de Maîche,CC
"200023125",CC Les Portes Briardes Entre Villes et Forêts,CC
"200023240",CC Pays de Nemours,CC
"200023299",CC Coeur de Tarentaise,CC
"200023307",CA du Grand Villeneuvois,CA
"200023372",CC de la Vallée de Chamonix-Mont-Blanc,CC
"200023414",Métropole Rouen Normandie,METRO
"200023620",CC de la Gascogne Toulousaine,CC
"200023737",CA du Grand Cahors,CA
"200023778",CC du Pays de St Gilles-Croix-de-Vie,CC
"200023794",CC de Blaye,CC
"200023919",CC Gâtinais Val de Loing,CC
"200026573",CC Haut-Jura Saint-Claude,CC
"200027027",CC Arc Sud Bretagne,CC
"200027076",CC Arnon Boischaut Cher,CC
"200027100",CC Méditerranée Porte des Maures,CC
"200027183",CU Perpignan Méditerranée Métropole,CU
"200027217",CC Sarlat-Périgord Noir,CC
"200027308",CC d'Auberive Vingeanne et Montsaugeonnais,CC
"200029734",CC des 4B Sud Charente,CC
"200029999",CC Rives de l'Ain - Pays du Cerdon,CC
"200030195",Métropole Nice Côte d'Azur,METRO
"200030385",CA de Blois ''Agglopolys'',CA
"200030435",CC d'Aire-sur-l'Adour,CC
"200030526",CC du Ried de Marckolsheim,CC
"200030633",CA du Caudrésis et du Catésis,CA
"200030658",CC du Trièves,CC
"200030674",CA Val de Garonne Agglomération,CA
"200032514",CC Berry-Loire-Vauvise,CC
"200033025",CA de Bar-le-Duc - Sud Meuse,CA
"200033090",CC Plaines et Monts de France,CC
"200033116",CC Cluses-Arve et Montagnes,CC
"200033173",CC de la Haute Vallée de Chevreuse,CC
"200033181",CA Chartres Métropole,CA
"200033207",CC Vierzon-Sologne-Berry,CC
"200033298",CC des Coëvrons,CC
"200033579",CU d'Arras,CU
"200033827",CC de Fium'Orbu Castellu,CC
"200033868",CC des Ballons des Hautes-Vosges,CC
"200034023",CC Tarn-Agout,CC
"200034031",CC des Monts d'Alban et du Villefranchois,CC
"200034049",CC Centre Tarn,CC
"200034056",CC du Lautrécois et du Pays d'Agout,CC
"200034064",CC du Cordais et du Causse (4 C),CC
"200034098",CC des Montagnes du Giffre,CC
"200034130",CC Gally Mauldre,CC
"200034197",CC de Montaigne Montravel et Gurson,CC
"200034205",CC de la Costa Verde,CC
"200034270",CC du Pays de Barr,CC
"200034379",CC Pays d'Uzès,CC
"200034411",CC du Piémont Cévenol,CC
"200034601",CC Causses Aigoual Cévennes,CC
"200034635",CC du Kochersberg,CC
"200034692",CA du Gard Rhodanien,CA
"200034700",CA Durance-Lubéron-Verdon Agglomération,CA
"200034718","CC de Vitry, Champagne et Der",CC
"200034726",CC Bastides de Lomagne,CC
"200034825",CA du Grand Guéret,CA
"200034833",CC des Bastides Dordogne-Périgord,CC
"200034874",CC Côtes de Meuse Woëvre,CC
"200034882",CC Pays du Mont-Blanc,CC
"200034957",CC du Frontonnais,CC
"200035087",CA Terre de Provence,CA
"200035103",CC de la Vallée de la Haute Sarthe,CC
"200035111",CC des Sources de l'Orne,CC
"200035129",CC de Cèze Cévennes,CC
"200035137",CC Marche Occitane - Val d'Anglin,CC
"200035202",CC Charlieu-Belmont,CC
"200035319",CA Var Esterel Méditerranée (CAVEM),CA
"200035327",CC Cazals-Salviac,CC
"200035442",CC du Sud-Artois,CC
"200035459",CA d'Agen,CA
"200035533",CC du Grand Saint Emilionnais,CC
"200035541",CC des Landes d'Armagnac,CC
"200035632",CC Armagnac Adour,CC
"200035665",CA Seine Eure,CA
"200035707",CC Piège Lauragais Malepère,CC
"200035715",CA Carcassonne Agglo,CA
"200035723",CC Ventoux Sud,CC
"200035731",CA Roannais Agglomération,CA
"200035756",CC Astarac Arros en Gascogne,CC
"200035764",CC de la Beauce Loirétaine,CC
"200035772",CC du Pays du Saintois,CC
"200035814",CA Flers Agglo,CA
"200035848",CC du Châtillonnais en Berry,CC
"200035855",CC Castelnaudary Lauragais Audois,CC
"200035863","CC Région Lézignanaise, Corbières et Minervois",CC
"200035970",CC Vexin Centre,CC
"200036069",CC du Pays de Mortagne au Perche,CC
"200036077",CC du Golfe de Saint-Tropez,CC
"200036135",CC Coeur de France,CC
"200036150",CC des Hauts du Val de Saône,CC
"200036465",CC de Thann-Cernay,CC
"200036473",CA de Saintes,CA
"200036499",CC de Marana-Golo,CC
"200036523",CC des Bastides en Haut Agenais Périgord,CC
"200036549",CC Val de Gray,CC
"200036572",CC Porte d'Aquitaine en Pays de Serres,CC
"200037059",CC de la Haute Somme (Combles - Péronne - Roisel),CC
"200037133",CC du Provinois,CC
"200038958",CC de la Pieve de l'Ornano,CC
"200038990",CC de Saint-Méen Montauban,CC
"200039022",CA Vitré Communauté,CA
"200039055",CC Ouche et Montagne,CC
"200039063","CC Forêts, Seine et Suzon",CC
"200039204",CC de Lacq-Orthez,CC
"200039519",CC du Quercy Blanc,CC
"200039642",CC Le Tonnerrois en Bourgogne,CC
"200039709",CC du Serein,CC
"200039758","CC Avallon, Vézelay, Morvan",CC
"200039808",CC des Gorges de l'Ardèche,CC
"200039824",CC Ardèche des Sources et Volcans,CC
"200039832",CC Pays des Vans en Cévennes,CC
"200039857",CA du Pays de Grasse,CA
"200039865",Metz Métropole,METRO
"200039907",CC du Sud Messin,CC
"200039915",CA Cannes Pays de Lérins,CA
"200039931",CC Alpes d'Azur,CC
"200039949",CC Rives de Moselle,CC
"200040038",CC Saône Doubs Bresse,CC
"200040095",CC Isle Vern Salembre en Périgord,CC
"200040111",CC Coeur de Chartreuse,CC
"200040137",CC des Lacs de Champagne,CC
"200040178",CC de l'Outre-Forêt,CC
